									
	Numero	Nom	Code	APICodeEntier	CaractHex	Ajouter sous Excel	Caracteristique	APICode	CodeBase
	9057	NONI	4139	173	003F	?	vl glottal stp	?	10
	9058	NONI	4139	350	0062	b	vd bilabial stp	b	10
	9059	NONI	4139	374	0064	d	vd alveolar stp	d	10
	9060	NONI	4139	439	0067	g	vd velar stp	g	10
	9061	NONI	4139	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS!	10
	9062	NONI	4139	396	0064007A2015	dz―	vd postalveol sib affricate	dZ!	10
	9063	NONI	4139	434	0066	f	vl labdent fricative	f	10
	9064	NONI	4139	786	0073	s	vl alveolar sib fricative	s	10
	9065	NONI	4139	266	222B	∫	vl postalveol sib fricative	S!	10
	9066	NONI	4139	623	006D	m	vd bilabial nasal	m	10
	9067	NONI	4139	637	006E	n	vd alveolar nasal	n	10
	9068	NONI	4139	673	0145	Ņ	vd palatal nasal	nj	10
	9069	NONI	4139	224	014B	ŋ	vd velar nasal	N!1	10
	9070	NONI	4139	600	006C	l	vd alveolar laterapprox	l	10
	9071	NONI	4139	570	006A	j	vd palatal approxi	j	10
	9072	NONI	4139	894	0077	w	vd labvel approxi	w	10
	9073	NONI	4139	534	0069	i	high front unrnd perif vowel	i	10
	9074	NONI	4139	273	03A9	Ω	lordhig back rounded perif vowel	U!	10
	9075	NONI	4139	693	006F	o	himid back rounded perif vowel	o	10
	9076	NONI	4139	12	2202	∂	md central unrnd vowel	@	10
	9077	NONI	4139	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9078	NONI	4139	239	004F	O	lomid back rounded perif vowel	O!	10
	9079	NONI	4139	301	0061	a	low central unrnd perif vowel	a	10
	9080	NONI	4139	539	006925BA	i►	long high front unrnd perif vowel	i:	10
	9081	NONI	4139	862	007525BA	u►	long high back rounded perif vowel	u:	10
	9082	NONI	4139	706	006F25BA	o►	long himid back rounded perif vowel	o:	10
	9083	NONI	4139	422	006525BA	e►	long himid front unrnd perif vowel	e:	10
	9084	NONI	4139	198	00E825BA	è►	long lomid front unrnd perif vowel	E!:	10
	9085	NONI	4139	241	004F25BA	O►	long lomid back rounded perif vowel	O!:	10
	9086	NONI	4139	313	006125BA	a►	long low central unrnd perif vowel	a:	10
	9087	NONI	4139	456	0429	Щ	vd velar approxi	gA	10
	9088	GWARI	4140	723	0070	p	vl bilabial stp	p	10
	9089	GWARI	4140	799	0074	t	vl alveolar stp	t	10
	9090	GWARI	4140	575	006B	k	vl velar stp	k	10
	9091	GWARI	4140	592	006B00702015	kp―	vl labvel stp	kp	10
	9092	GWARI	4140	350	0062	b	vd bilabial stp	b	10
	9093	GWARI	4140	374	0064	d	vd alveolar stp	d	10
	9094	GWARI	4140	439	0067	g	vd velar stp	g	10
	9095	GWARI	4140	466	006700622015	gb―	vd labvel stp	gb	10
	9096	GWARI	4140	354	0392	Β	vd bilabial implosiv	b<	10
	9097	GWARI	4140	434	0066	f	vl labdent fricative	f	10
	9098	GWARI	4140	474	0068	h	vl glottal fricative	h	10
	9099	GWARI	4140	888	0076	v	vd labdent fricative	v	10
	9100	GWARI	4140	786	0073	s	vl alveolar sib fricative	s	10
	9101	GWARI	4140	909	005A	Z	vd alveolar sib fricative	z	10
	9102	GWARI	4140	623	006D	m	vd bilabial nasal	m	10
	9103	GWARI	4140	637	006E	n	vd alveolar nasal	n	10
	9104	GWARI	4140	776	0156	Ŗ	vd alveolar flap	r[	10
	9105	GWARI	4140	600	006C	l	vd alveolar laterapprox	l	10
	9106	GWARI	4140	570	006A	j	vd palatal approxi	j	10
	9107	GWARI	4140	894	0077	w	vd labvel approxi	w	10
	9108	GWARI	4140	534	0069	i	high front unrnd perif vowel	i	10
	9109	GWARI	4140	420	0065	e	himid front unrnd perif vowel	e	10
	9110	GWARI	4140	301	0061	a	low central unrnd perif vowel	a	10
	9111	GWARI	4140	693	006F	o	himid back rounded perif vowel	o	10
	9112	GWARI	4140	855	0075	u	high back rounded perif vowel	u	10
	9113	GWARI	4140	566	00692020	i†	naszd high front unrnd perif vowel	i~	10
	9114	EWONDO	4141	799	0074	t	vl alveolar stp	t	10
	9115	EWONDO	4141	575	006B	k	vl velar stp	k	10
	9116	EWONDO	4141	592	006B00702015	kp―	vl labvel stp	kp	10
	9117	EWONDO	4141	350	0062	b	vd bilabial stp	b	10
	9118	EWONDO	4141	374	0064	d	vd alveolar stp	d	10
	9119	EWONDO	4141	439	0067	g	vd velar stp	g	10
	9120	EWONDO	4141	466	006700622015	gb―	vd labvel stp	gb	10
	9121	EWONDO	4141	630	006D0062	mb	prenazad vd bilabial stp	mb	10
	9122	EWONDO	4141	661	006E0064	nd	prenazad vd alveolar stp	nd	10
	9123	EWONDO	4141	228	014B0067	ŋg	prenazad vd velar stp	Ng	10
	9124	EWONDO	4141	236	014B006D006720150062	ŋmg―b	prenazad vd labvel stp	Nmgb	10
	9125	EWONDO	4141	849	007400732015	ts―	vl alveolar sib affricate	ts	10
	9126	EWONDO	4141	416	0064005A2015	dZ―	vd alveolar sib affricate	dz	10
	9127	EWONDO	4141	672	006E0064005A2015	ndZ―	prenazad vd alveolar sib affricate	ndz	10
	9128	EWONDO	4141	434	0066	f	vl labdent fricative	f	10
	9129	EWONDO	4141	888	0076	v	vd labdent fricative	v	10
	9130	EWONDO	4141	786	0073	s	vl alveolar sib fricative	s	10
	9131	EWONDO	4141	909	005A	Z	vd alveolar sib fricative	z	10
	9132	EWONDO	4141	623	006D	m	vd bilabial nasal	m	10
	9133	EWONDO	4141	637	006E	n	vd alveolar nasal	n	10
	9134	EWONDO	4141	673	0145	Ņ	vd palatal nasal	nj	10
	9135	EWONDO	4141	224	014B	ŋ	vd velar nasal	N!1	10
	9136	EWONDO	4141	600	006C	l	vd alveolar laterapprox	l	10
	9137	EWONDO	4141	570	006A	j	vd palatal approxi	j	10
	9138	EWONDO	4141	894	0077	w	vd labvel approxi	w	10
	9139	EWONDO	4141	420	0065	e	himid front unrnd perif vowel	e	10
	9140	EWONDO	4141	177	0045	E	himid central unrnd vowel	@	10
	9141	EWONDO	4141	693	006F	o	himid back rounded perif vowel	o	10
	9142	EWONDO	4141	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9143	EWONDO	4141	239	004F	O	lomid back rounded perif vowel	O!	10
	9144	EWONDO	4141	301	0061	a	low central unrnd perif vowel	a	10
	9145	EWONDO	4141	544	006900BB	i»	raisd high front unrnd perif vowel	iF	10
	9146	EWONDO	4141	865	007500BB	u»	raisd high back rounded perif vowel	uF	10
	9147	EWONDO	4141	636	004D0076	Mv	prenazad vd labdent fricative	mv	10
	9148	JOMANG	4142	350	0062	b	vd bilabial stp	b	10
	9149	JOMANG	4142	386	006400B7	d·	vd dental stp	dD	10
	9150	JOMANG	4142	374	0064	d	vd alveolar stp	d	10
	9151	JOMANG	4142	406	004A	J	vd palatal stp	dj	10
	9152	JOMANG	4142	439	0067	g	vd velar stp	g	10
	9153	JOMANG	4142	786	0073	s	vl alveolar sib fricative	s	10
	9154	JOMANG	4142	623	006D	m	vd bilabial nasal	m	10
	9155	JOMANG	4142	637	006E	n	vd alveolar nasal	n	10
	9156	JOMANG	4142	673	0145	Ņ	vd palatal nasal	nj	10
	9157	JOMANG	4142	224	014B	ŋ	vd velar nasal	N!1	10
	9158	JOMANG	4142	783	00720072	rr	vd alveolar rsound	rr	10
	9159	JOMANG	4142	600	006C	l	vd alveolar laterapprox	l	10
	9160	JOMANG	4142	570	006A	j	vd palatal approxi	j	10
	9161	JOMANG	4142	894	0077	w	vd labvel approxi	w	10
	9162	JOMANG	4142	534	0069	i	high front unrnd perif vowel	i	10
	9163	JOMANG	4142	215	0049	I	lordhig front unrnd perif vowel	I!	10
	9164	JOMANG	4142	855	0075	u	high back rounded perif vowel	u	10
	9165	JOMANG	4142	273	03A9	Ω	lordhig back rounded perif vowel	U!	10
	9166	JOMANG	4142	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9167	JOMANG	4142	239	004F	O	lomid back rounded perif vowel	O!	10
	9168	JOMANG	4142	301	0061	a	low central unrnd perif vowel	a	10
	9169	SANGO	4143	723	0070	p	vl bilabial stp	p	10
	9170	SANGO	4143	799	0074	t	vl alveolar stp	t	10
	9171	SANGO	4143	575	006B	k	vl velar stp	k	10
	9172	SANGO	4143	592	006B00702015	kp―	vl labvel stp	kp	10
	9173	SANGO	4143	350	0062	b	vd bilabial stp	b	10
	9174	SANGO	4143	374	0064	d	vd alveolar stp	d	10
	9175	SANGO	4143	439	0067	g	vd velar stp	g	10
	9176	SANGO	4143	466	006700622015	gb―	vd labvel stp	gb	10
	9177	SANGO	4143	630	006D0062	mb	prenazad vd bilabial stp	mb	10
	9178	SANGO	4143	661	006E0064	nd	prenazad vd alveolar stp	nd	10
	9179	SANGO	4143	228	014B0067	ŋg	prenazad vd velar stp	Ng	10
	9180	SANGO	4143	236	014B006D006720150062	ŋmg―b	prenazad vd labvel stp	Nmgb	10
	9181	SANGO	4143	354	0392	Β	vd bilabial implosiv	b<	10
	9182	SANGO	4143	434	0066	f	vl labdent fricative	f	10
	9183	SANGO	4143	888	0076	v	vd labdent fricative	v	10
	9184	SANGO	4143	266	222B	∫	vl postalveol sib fricative	S!	10
	9185	SANGO	4143	293	007A	z	vd postalveol sib fricative	Z!	10
	9186	SANGO	4143	656	006E007A	nz	prenazad vd postalveol sib fricative	nZ!	10
	9187	SANGO	4143	623	006D	m	vd bilabial nasal	m	10
	9188	SANGO	4143	637	006E	n	vd alveolar nasal	n	10
	9189	SANGO	4143	600	006C	l	vd alveolar laterapprox	l	10
	9190	SANGO	4143	570	006A	j	vd palatal approxi	j	10
	9191	SANGO	4143	894	0077	w	vd labvel approxi	w	10
	9192	SANGO	4143	534	0069	i	high front unrnd perif vowel	i	10
	9193	SANGO	4143	420	0065	e	himid front unrnd perif vowel	e	10
	9194	SANGO	4143	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9195	SANGO	4143	301	0061	a	low central unrnd perif vowel	a	10
	9196	SANGO	4143	239	004F	O	lomid back rounded perif vowel	O!	10
	9197	SANGO	4143	693	006F	o	himid back rounded perif vowel	o	10
	9198	SANGO	4143	855	0075	u	high back rounded perif vowel	u	10
	9199	SANGO	4143	886	00752020	u†	naszd high back rounded perif vowel	u~	10
	9200	SANGO	4143	202	00E82020	è†	naszd lomid front unrnd perif vowel	E!~	10
	9201	SANGO	4143	247	004F2020	O†	naszd lomid back rounded perif vowel	O!~	10
	9202	SANGO	4143	347	00612020	a†	naszd low central unrnd perif vowel	a~	10
	9203	SANGO	4143	636	004D0076	Mv	prenazad vd labdent fricative	mv	10
	9204	SANGO	4143	605	015802D9	Ř˙	vd retro lateral flap	l.[	10
	9205	SANGO	4143	474	0068	h	vl glottal fricative	h	10
	9206	BETE	4144	723	0070	p	vl bilabial stp	p	10
	9207	BETE	4144	799	0074	t	vl alveolar stp	t	10
	9208	BETE	4144	364	0063	c	vl palatal stp	c	10
	9209	BETE	4144	575	006B	k	vl velar stp	k	10
	9210	BETE	4144	592	006B00702015	kp―	vl labvel stp	kp	10
	9211	BETE	4144	350	0062	b	vd bilabial stp	b	10
	9212	BETE	4144	374	0064	d	vd alveolar stp	d	10
	9213	BETE	4144	406	004A	J	vd palatal stp	dj	10
	9214	BETE	4144	439	0067	g	vd velar stp	g	10
	9215	BETE	4144	466	006700622015	gb―	vd labvel stp	gb	10
	9216	BETE	4144	354	0392	Β	vd bilabial implosiv	b<	10
	9217	BETE	4144	434	0066	f	vl labdent fricative	f	10
	9218	BETE	4144	888	0076	v	vd labdent fricative	v	10
	9219	BETE	4144	786	0073	s	vl alveolar sib fricative	s	10
	9220	BETE	4144	909	005A	Z	vd alveolar sib fricative	z	10
	9221	BETE	4144	623	006D	m	vd bilabial nasal	m	10
	9222	BETE	4144	637	006E	n	vd alveolar nasal	n	10
	9223	BETE	4144	673	0145	Ņ	vd palatal nasal	nj	10
	9224	BETE	4144	224	014B	ŋ	vd velar nasal	N!1	10
	9225	BETE	4144	227	014B0175	ŋŵ	labzd vd velar nasal	NW	10
	9226	BETE	4144	600	006C	l	vd alveolar laterapprox	l	10
	9227	BETE	4144	570	006A	j	vd palatal approxi	j	10
	9228	BETE	4144	894	0077	w	vd labvel approxi	w	10
	9229	BETE	4144	534	0069	i	high front unrnd perif vowel	i	10
	9230	BETE	4144	547	00EF	ï	high central unrnd vowel	i_	10
	9231	BETE	4144	855	0075	u	high back rounded perif vowel	u	10
	9232	BETE	4144	215	0049	I	lordhig front unrnd perif vowel	I!	10
	9233	BETE	4144	218	004902C9	Iˉ	lordhig central unrnd vowel	I!_	10
	9234	BETE	4144	273	03A9	Ω	lordhig back rounded perif vowel	U!	10
	9235	BETE	4144	420	0065	e	himid front unrnd perif vowel	e	10
	9236	BETE	4144	177	0045	E	himid central unrnd vowel	@	10
	9237	BETE	4144	693	006F	o	himid back rounded perif vowel	o	10
	9238	BETE	4144	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9239	BETE	4144	155	042D	Э	lomid central unrnd vowel	3	10
	9240	BETE	4144	239	004F	O	lomid back rounded perif vowel	O!	10
	9241	BETE	4144	301	0061	a	low central unrnd perif vowel	a	10
	9242	BETE	4144	456	0429	Щ	vd velar approxi	gA	10
	9243	KONYAGI	4145	723	0070	p	vl bilabial stp	p	10
	9244	KONYAGI	4145	799	0074	t	vl alveolar stp	t	10
	9245	KONYAGI	4145	364	0063	c	vl palatal stp	c	10
	9246	KONYAGI	4145	575	006B	k	vl velar stp	k	10
	9247	KONYAGI	4145	583	006B0175	kŵ	labzd vl velar stp	kW	10
	9248	KONYAGI	4145	634	006D0070	mp	prenazad vl bilabial stp	mp	10
	9249	KONYAGI	4145	678	006E0074	nt	prenazad vl alveolar stp	nt	10
	9250	KONYAGI	4145	659	01450063	Ņc	prenazad vl palatal stp	nc	10
	9251	KONYAGI	4145	231	014B006B	ŋk	prenazad vl velar stp	Nk	10
	9252	KONYAGI	4145	233	014B006B0175	ŋkŵ	prenazad labzd vl velar stp	NkW	10
	9253	KONYAGI	4145	350	0062	b	vd bilabial stp	b	10
	9254	KONYAGI	4145	374	0064	d	vd alveolar stp	d	10
	9255	KONYAGI	4145	406	004A	J	vd palatal stp	dj	10
	9256	KONYAGI	4145	439	0067	g	vd velar stp	g	10
	9257	KONYAGI	4145	464	00670175	gŵ	labzd vd velar stp	gW	10
	9258	KONYAGI	4145	630	006D0062	mb	prenazad vd bilabial stp	mb	10
	9259	KONYAGI	4145	661	006E0064	nd	prenazad vd alveolar stp	nd	10
	9260	KONYAGI	4145	669	0145004A	ŅJ	prenazad vd palatal stp	ndj	10
	9261	KONYAGI	4145	354	0392	Β	vd bilabial implosiv	b<	10
	9262	KONYAGI	4145	385	0111	đ	vd alveolar implosiv	d<	10
	9263	KONYAGI	4145	409	0192	ƒ	vd palatal implosiv	dj<	10
	9264	KONYAGI	4145	252	0046	F	vl bilabial fricative	P!	10
	9265	KONYAGI	4145	898	0078	x	vl velar fricative	x	10
	9266	KONYAGI	4145	902	00780175	xŵ	labzd vl velar fricative	xW	10
	9267	KONYAGI	4145	186	03B2	β	vd bilabial fricative	B!	10
	9268	KONYAGI	4145	786	0073	s	vl alveolar sib fricative	s	10
	9269	KONYAGI	4145	623	006D	m	vd bilabial nasal	m	10
	9270	KONYAGI	4145	637	006E	n	vd alveolar nasal	n	10
	9271	KONYAGI	4145	673	0145	Ņ	vd palatal nasal	nj	10
	9272	KONYAGI	4145	224	014B	ŋ	vd velar nasal	N!1	10
	9273	KONYAGI	4145	227	014B0175	ŋŵ	labzd vd velar nasal	NW	10
	9274	KONYAGI	4145	763	0072	r	vd alveolar trill	r	10
	9275	KONYAGI	4145	782	007202C9	rˉ	vd palatal trill	rj	10
	9276	KONYAGI	4145	600	006C	l	vd alveolar laterapprox	l	10
	9277	KONYAGI	4145	622	006C2020	l†	naszd vd alveolar laterapprox	l~	10
	9278	KONYAGI	4145	570	006A	j	vd palatal approxi	j	10
	9279	KONYAGI	4145	894	0077	w	vd labvel approxi	w	10
	9280	KONYAGI	4145	574	006A2020	j†	naszd vd palatal approxi	j~	10
	9281	KONYAGI	4145	897	00772020	w†	naszd vd labvel approxi	w~	10
	9282	KONYAGI	4145	534	0069	i	high front unrnd perif vowel	i	10
	9283	KONYAGI	4145	855	0075	u	high back rounded perif vowel	u	10
	9284	KONYAGI	4145	12	2202	∂	md central unrnd vowel	@	10
	9285	KONYAGI	4145	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9286	KONYAGI	4145	239	004F	O	lomid back rounded perif vowel	O!	10
	9287	KONYAGI	4145	326	00E6	æ	raidlo front unrnd perif vowel	aa	10
	9288	KONYAGI	4145	301	0061	a	low central unrnd perif vowel	a	10
	9289	MBUM	4146	723	0070	p	vl bilabial stp	p	10
	9290	MBUM	4146	799	0074	t	vl alveolar stp	t	10
	9291	MBUM	4146	575	006B	k	vl velar stp	k	10
	9292	MBUM	4146	592	006B00702015	kp―	vl labvel stp	kp	10
	9293	MBUM	4146	350	0062	b	vd bilabial stp	b	10
	9294	MBUM	4146	355	0444	ф	vd labdent stp	bD	10
	9295	MBUM	4146	374	0064	d	vd alveolar stp	d	10
	9296	MBUM	4146	439	0067	g	vd velar stp	g	10
	9297	MBUM	4146	466	006700622015	gb―	vd labvel stp	gb	10
	9298	MBUM	4146	354	0392	Β	vd bilabial implosiv	b<	10
	9299	MBUM	4146	385	0111	đ	vd alveolar implosiv	d<	10
	9300	MBUM	4146	630	006D0062	mb	prenazad vd bilabial stp	mb	10
	9301	MBUM	4146	661	006E0064	nd	prenazad vd alveolar stp	nd	10
	9302	MBUM	4146	228	014B0067	ŋg	prenazad vd velar stp	Ng	10
	9303	MBUM	4146	236	014B006D006720150062	ŋmg―b	prenazad vd labvel stp	Nmgb	10
	9304	MBUM	4146	434	0066	f	vl labdent fricative	f	10
	9305	MBUM	4146	474	0068	h	vl glottal fricative	h	10
	9306	MBUM	4146	888	0076	v	vd labdent fricative	v	10
	9307	MBUM	4146	636	004D0076	Mv	prenazad vd labdent fricative	mv	10
	9308	MBUM	4146	786	0073	s	vl alveolar sib fricative	s	10
	9309	MBUM	4146	293	007A	z	vd postalveol sib fricative	Z!	10
	9310	MBUM	4146	656	006E007A	nz	prenazad vd postalveol sib fricative	nZ!	10
	9311	MBUM	4146	623	006D	m	vd bilabial nasal	m	10
	9312	MBUM	4146	637	006E	n	vd alveolar nasal	n	10
	9313	MBUM	4146	673	0145	Ņ	vd palatal nasal	nj	10
	9314	MBUM	4146	224	014B	ŋ	vd velar nasal	N!1	10
	9315	MBUM	4146	763	0072	r	vd alveolar trill	r	10
	9316	MBUM	4146	600	006C	l	vd alveolar laterapprox	l	10
	9317	MBUM	4146	570	006A	j	vd palatal approxi	j	10
	9318	MBUM	4146	894	0077	w	vd labvel approxi	w	10
	9319	MBUM	4146	534	0069	i	high front unrnd perif vowel	i	10
	9320	MBUM	4146	420	0065	e	himid front unrnd perif vowel	e	10
	9321	MBUM	4146	301	0061	a	low central unrnd perif vowel	a	10
	9322	MBUM	4146	693	006F	o	himid back rounded perif vowel	o	10
	9323	MBUM	4146	855	0075	u	high back rounded perif vowel	u	10
	9324	MBUM	4146	566	00692020	i†	naszd high front unrnd perif vowel	i~	10
	9325	MBUM	4146	347	00612020	a†	naszd low central unrnd perif vowel	a~	10
	9326	MBUM	4146	886	00752020	u†	naszd high back rounded perif vowel	u~	10
	9327	ISOKO	4147	723	0070	p	vl bilabial stp	p	10
	9328	ISOKO	4147	814	007400B7	t·	vl dental stp	tD	10
	9329	ISOKO	4147	799	0074	t	vl alveolar stp	t	10
	9330	ISOKO	4147	575	006B	k	vl velar stp	k	10
	9331	ISOKO	4147	350	0062	b	vd bilabial stp	b	10
	9332	ISOKO	4147	386	006400B7	d·	vd dental stp	dD	10
	9333	ISOKO	4147	374	0064	d	vd alveolar stp	d	10
	9334	ISOKO	4147	439	0067	g	vd velar stp	g	10
	9335	ISOKO	4147	466	006700622015	gb―	vd labvel stp	gb	10
	9336	ISOKO	4147	727	039200B0	Β°	vl bilabial implosiv	p<	10
	9337	ISOKO	4147	434	0066	f	vl labdent fricative	f	10
	9338	ISOKO	4147	474	0068	h	vl glottal fricative	h	10
	9339	ISOKO	4147	888	0076	v	vd labdent fricative	v	10
	9340	ISOKO	4147	458	0120	Ġ	vd velar fricative	gF	10
	9341	ISOKO	4147	461	01200175	Ġŵ	labzd vd velar fricative	gFW	10
	9342	ISOKO	4147	893	00760384	v΄	breathy labdent fricative	vh	10
	9343	ISOKO	4147	786	0073	s	vl alveolar sib fricative	s	10
	9344	ISOKO	4147	909	005A	Z	vd alveolar sib fricative	z	10
	9345	ISOKO	4147	623	006D	m	vd bilabial nasal	m	10
	9346	ISOKO	4147	650	006E00B7	n·	vd dental nasal	nD!	10
	9347	ISOKO	4147	637	006E	n	vd alveolar nasal	n	10
	9348	ISOKO	4147	227	014B0175	ŋŵ	labzd vd velar nasal	NW	10
	9349	ISOKO	4147	776	0156	Ŗ	vd alveolar flap	r[	10
	9350	ISOKO	4147	763	0072	r	vd alveolar trill	r	10
	9351	ISOKO	4147	600	006C	l	vd alveolar laterapprox	l	10
	9352	ISOKO	4147	188	03B200BC	β¼	vd bilabial approxi	BA	10
	9353	ISOKO	4147	768	0155	ŕ	vd alveolar approxi	rA	10
	9354	ISOKO	4147	570	006A	j	vd palatal approxi	j	10
	9355	ISOKO	4147	534	0069	i	high front unrnd perif vowel	i	10
	9356	ISOKO	4147	215	0049	I	lordhig front unrnd perif vowel	I!	10
	9357	ISOKO	4147	420	0065	e	himid front unrnd perif vowel	e	10
	9358	ISOKO	4147	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9359	ISOKO	4147	301	0061	a	low central unrnd perif vowel	a	10
	9360	ISOKO	4147	239	004F	O	lomid back rounded perif vowel	O!	10
	9361	ISOKO	4147	693	006F	o	himid back rounded perif vowel	o	10
	9362	ISOKO	4147	273	03A9	Ω	lordhig back rounded perif vowel	U!	10
	9363	ISOKO	4147	855	0075	u	high back rounded perif vowel	u	10
	9364	FE?FE?	4148	799	0074	t	vl alveolar stp	t	10
	9365	FE?FE?	4148	575	006B	k	vl velar stp	k	10
	9366	FE?FE?	4148	173	003F	?	vl glottal stp	?	10
	9367	FE?FE?	4148	350	0062	b	vd bilabial stp	b	10
	9368	FE?FE?	4148	374	0064	d	vd alveolar stp	d	10
	9369	FE?FE?	4148	439	0067	g	vd velar stp	g	10
	9370	FE?FE?	4148	829	007400AF222B2015	t¯∫―	vl postalveol sib affricate	tS!	10
	9371	FE?FE?	4148	396	0064007A2015	dz―	vd postalveol sib affricate	dZ!	10
	9372	FE?FE?	4148	434	0066	f	vl labdent fricative	f	10
	9373	FE?FE?	4148	474	0068	h	vl glottal fricative	h	10
	9374	FE?FE?	4148	888	0076	v	vd labdent fricative	v	10
	9375	FE?FE?	4148	786	0073	s	vl alveolar sib fricative	s	10
	9376	FE?FE?	4148	909	005A	Z	vd alveolar sib fricative	z	10
	9377	FE?FE?	4148	623	006D	m	vd bilabial nasal	m	10
	9378	FE?FE?	4148	637	006E	n	vd alveolar nasal	n	10
	9379	FE?FE?	4148	224	014B	ŋ	vd velar nasal	N!1	10
	9380	FE?FE?	4148	894	0077	w	vd labvel approxi	w	10
	9381	FE?FE?	4148	534	0069	i	high front unrnd perif vowel	i	10
	9382	FE?FE?	4148	420	0065	e	himid front unrnd perif vowel	e	10
	9383	FE?FE?	4148	303	006100BA	aº	low front unrnd perif vowel	a+	10
	9384	FE?FE?	4148	316	0041	A	low back unrnd perif vowel	a_	10
	9385	FE?FE?	4148	693	006F	o	himid back rounded perif vowel	o	10
	9386	FE?FE?	4148	694	0123	ģ	himid back unrnd vowel	o(	10
	9387	FE?FE?	4148	855	0075	u	high back rounded perif vowel	u	10
	9388	FE?FE?	4148	875	016A	Ū	high back unrnd vowel	uu	10
	9389	NDUT	4149	723	0070	p	vl bilabial stp	p	10
	9390	NDUT	4149	799	0074	t	vl alveolar stp	t	10
	9391	NDUT	4149	364	0063	c	vl palatal stp	c	10
	9392	NDUT	4149	575	006B	k	vl velar stp	k	10
	9393	NDUT	4149	173	003F	?	vl glottal stp	?	10
	9394	NDUT	4149	350	0062	b	vd bilabial stp	b	10
	9395	NDUT	4149	374	0064	d	vd alveolar stp	d	10
	9396	NDUT	4149	406	004A	J	vd palatal stp	dj	10
	9397	NDUT	4149	439	0067	g	vd velar stp	g	10
	9398	NDUT	4149	354	0392	Β	vd bilabial implosiv	b<	10
	9399	NDUT	4149	385	0111	đ	vd alveolar implosiv	d<	10
	9400	NDUT	4149	630	006D0062	mb	prenazad vd bilabial stp	mb	10
	9401	NDUT	4149	661	006E0064	nd	prenazad vd alveolar stp	nd	10
	9402	NDUT	4149	669	0145004A	ŅJ	prenazad vd palatal stp	ndj	10
	9403	NDUT	4149	228	014B0067	ŋg	prenazad vd velar stp	Ng	10
	9404	NDUT	4149	434	0066	f	vl labdent fricative	f	10
	9405	NDUT	4149	474	0068	h	vl glottal fricative	h	10
	9406	NDUT	4149	786	0073	s	vl alveolar sib fricative	s	10
	9407	NDUT	4149	458	0120	Ġ	vd velar fricative	gF	10
	9408	NDUT	4149	623	006D	m	vd bilabial nasal	m	10
	9409	NDUT	4149	637	006E	n	vd alveolar nasal	n	10
	9410	NDUT	4149	673	0145	Ņ	vd palatal nasal	nj	10
	9411	NDUT	4149	224	014B	ŋ	vd velar nasal	N!1	10
	9412	NDUT	4149	783	00720072	rr	vd alveolar rsound	rr	10
	9413	NDUT	4149	600	006C	l	vd alveolar laterapprox	l	10
	9414	NDUT	4149	570	006A	j	vd palatal approxi	j	10
	9415	NDUT	4149	894	0077	w	vd labvel approxi	w	10
	9416	NDUT	4149	534	0069	i	high front unrnd perif vowel	i	10
	9417	NDUT	4149	420	0065	e	himid front unrnd perif vowel	e	10
	9418	NDUT	4149	196	00E8	è	lomid front unrnd perif vowel	E!	10
	9419	NDUT	4149	301	0061	a	low central unrnd perif vowel	a	10
	9420	NDUT	4149	239	004F	O	lomid back rounded perif vowel	O!	10
	9421	NDUT	4149	855	0075	u	high back rounded perif vowel	u	10
	9422	NDUT	4149	177	0045	E	himid central unrnd vowel	@	10
	9423	KOLOKUMA IJO	4150	723	0070	p	vl bilabial stp	p	10
	9424	KOLOKUMA IJO	4150	799	0074	t	vl alveolar stp	t	10
	9425	KOLOKUMA IJO	4150	575	006B	k	vl velar stp	k	10
	9426	KOLOKUMA IJO	4150	593	006B007020150175	kp―ŵ	labzd vl labvel stp	kpW	10
	9427	KOLOKUMA IJO	4150	350	0062	b	vd bilabial stp	b	10
	9428	KOLOKUMA IJO	4150	374	0064	d	vd alveolar stp	d	10
	9429	KOLOKUMA IJO	4150	439	0067	g	vd velar stp	g	10
	9430	KOLOKUMA IJO	4150	467	0067006220150175	gb―ŵ	labzd vd labvel stp	gbW	10
	9431	KOLOKUMA IJO	4150	434	0066	f	vl labdent fricative	f	10
	9432	KOLOKUMA IJO	4150	888	0076	v	vd labdent fricative	v	10
	9433	KOLOKUMA IJO	4150	786	0073	s	vl alveolar sib fricative	s	10
	9434	KOLOKUMA IJO	4150	909	005A	Z	vd alveolar sib fricative	z	10
	9435	KOLOKUMA IJO	4150	623	006D	m	vd bilabial nasal	m	10
	9436	KOLOKUMA IJO	4150	637	006E	n	vd alveolar nasal	n	10
	9437	KOLOKUMA IJO	4150	224	014B	ŋ	vd velar nasal	N!1	10
	9438	KOLOKUMA IJO	4150	776	0156	Ŗ	vd alveolar flap	r[	10
	9439	KOLOKUMA IJO	4150	600	006C	l	vd alveolar laterapprox	l	10
	9440	KOLOKUMA IJO	4150	570	006A	j	vd palatal approxi	j	10
